topology,workload,advert,feature,seed,delivered,sent,alice_flood,alice_direct,radio_tx,radio_rx,collisions,ackpath_tx,total_flood_tx,total_direct_tx,probes_fired,wall_s,rc
chain_6,medium,medium,p2_c120_mp3,1919,5,6,4,2,104,204,25,22,43,35,0,1.2873101234436035,0
chain_6,medium,medium,p2_c120_mp3,606,6,6,4,2,103,187,39,30,43,33,0,1.3590214252471924,0
chain_6,medium,medium,p2_c120_mp3,505,6,6,4,2,98,174,38,23,46,26,0,1.387810230255127,0
chain_6,medium,medium,p2_c120_mp3,1414,6,6,3,3,115,223,33,30,45,41,0,1.3432233333587646,0
chain_6,medium,medium,p2_c120_mp3,707,6,6,5,1,98,187,30,15,45,30,0,1.3853819370269775,0
chain_6,medium,medium,p2_c120_mp3,1313,6,6,5,1,95,168,38,12,48,24,0,1.3669674396514893,0
chain_6,medium,medium,p2_c120_mp3,808,6,6,4,2,107,203,34,28,44,36,0,1.4158194065093994,0
chain_6,medium,medium,p2_c120_mp3,1212,6,6,4,2,106,199,38,28,41,38,0,1.4039053916931152,0
chain_6,medium,medium,p2_c120_mp3,1515,6,6,4,2,103,191,38,24,41,36,0,1.388984203338623,0
chain_6,medium,medium,p2_c120_mp3,1717,5,6,4,2,103,193,34,25,44,33,0,1.3926138877868652,0
chain_6,medium,medium,p2_c120_h2,42,6,6,4,2,105,209,30,23,44,38,1,1.412820816040039,0
chain_6,medium,medium,p2_c120_mp3,1616,5,6,4,2,105,204,31,29,43,36,0,1.4530901908874512,0
chain_6,medium,medium,p2_c120_h2,202,6,6,4,2,102,195,35,22,45,34,1,1.3993010520935059,0
chain_6,medium,medium,p2_c120_h2,303,6,6,4,2,105,196,43,29,45,36,1,1.4181828498840332,0
chain_6,medium,medium,p2_c120_h2,505,6,6,3,3,115,229,34,32,45,44,3,1.0849816799163818,0
chain_6,medium,medium,p2_c120_h2,404,6,6,4,2,107,210,32,30,41,41,2,1.383364200592041,0
chain_6,medium,medium,p2_c120_h2,606,6,6,4,2,102,196,36,29,38,40,1,1.340137004852295,0
chain_6,medium,medium,p2_c120_h2,1010,6,6,4,2,108,218,25,30,47,37,1,1.076324224472046,0
chain_6,medium,medium,p2_c120_h2,707,6,6,3,3,107,212,32,31,42,41,1,1.4116895198822021,0
chain_6,medium,medium,p2_c40,42,6,6,0,6,91,178,29,26,36,35,0,0.9540901184082031,0
chain_6,medium,medium,p2_c120_h2,808,6,6,3,3,104,203,36,31,35,45,1,1.3817636966705322,0
chain_6,medium,medium,p2_c120_h2,909,6,6,4,2,104,200,38,29,40,40,1,1.3776185512542725,0
chain_6,medium,medium,p2_c120_h2,1616,5,6,4,2,104,199,38,21,42,38,3,1.2090933322906494,0
chain_6,medium,medium,p2_c120_h2,1111,6,6,4,2,108,209,34,30,52,32,1,1.3993291854858398,0
chain_6,medium,medium,p2_c40,202,6,6,0,6,105,221,20,28,50,35,0,1.1859204769134521,0
chain_6,medium,medium,p2_c120_h2,1717,5,6,3,3,105,209,30,26,44,38,1,1.235938549041748,0
chain_6,medium,medium,p2_c120_h2,1313,6,6,4,2,106,201,38,26,47,35,1,1.3408691883087158,0
chain_6,medium,medium,p2_c120_h2,1212,6,6,4,2,114,225,33,30,52,38,1,1.3901405334472656,0
chain_6,medium,medium,p2_c120_h2,1515,6,6,4,2,103,199,33,23,45,35,1,1.3711509704589844,0
chain_6,medium,medium,p2_c40,606,6,6,0,6,91,176,31,27,36,35,0,1.2460715770721436,0
chain_6,medium,medium,p2_c120_h2,1414,6,6,4,2,106,208,32,27,43,39,1,1.4548060894012451,0
chain_6,medium,medium,p2_c40,101,6,6,0,6,104,219,17,28,49,35,0,1.390185832977295,0
chain_6,medium,medium,p2_c120_h2,1818,6,6,5,1,107,207,35,20,49,35,1,1.4116370677947998,0
chain_6,medium,medium,p2_c120_h2,1919,5,6,4,2,104,204,30,20,45,36,1,1.4235825538635254,0
chain_6,medium,medium,p2_c40,404,6,6,0,6,99,206,19,28,44,35,0,1.3673267364501953,0
chain_6,medium,medium,p2_c40,303,6,6,0,6,92,180,31,22,37,35,0,1.409846305847168,0
chain_6,medium,medium,p2_c40,707,6,6,0,6,98,198,27,27,42,36,0,1.379650592803955,0
chain_6,medium,medium,p2_c40,808,6,6,0,6,96,193,27,26,40,36,0,1.3486366271972656,0
chain_6,medium,medium,p2_c40,505,6,6,0,6,94,192,22,29,40,34,0,1.4227046966552734,0
chain_6,medium,medium,p2_c40,909,5,6,0,6,88,172,29,24,35,34,0,1.3799364566802979,0
chain_6,medium,medium,p2_c40,1010,6,6,0,6,96,200,18,29,40,36,0,1.3803236484527588,0
chain_6,medium,medium,p2_c40,1111,6,6,0,6,98,202,23,27,43,35,0,1.3880634307861328,0
chain_6,medium,medium,p2_c40,1212,6,6,0,6,96,193,27,27,40,36,0,1.2909448146820068,0
chain_6,medium,medium,p2_c40,1313,6,6,0,6,100,201,27,28,46,34,0,1.383237361907959,0
chain_6,medium,medium,p2_c40,1515,6,6,0,6,93,181,32,23,37,36,0,1.2262942790985107,0
chain_6,medium,medium,p2_c40,1414,6,6,0,6,102,209,25,28,46,36,0,1.3996927738189697,0
chain_6,medium,medium,p2_c40,1717,5,6,0,6,92,190,18,24,40,33,0,1.382293462753296,0
chain_6,medium,medium,p2_c40_penalty_off,42,6,6,3,3,99,190,36,31,37,39,0,1.205207109451294,0
chain_6,medium,medium,p2_c40,1616,5,6,0,6,91,177,31,22,39,33,0,1.397733211517334,0
chain_6,medium,medium,p2_c40_penalty_off,202,6,6,3,3,111,221,35,31,49,39,0,1.1919753551483154,0
chain_6,medium,medium,p2_c40,1919,5,6,0,6,98,200,21,24,44,34,0,1.2989857196807861,0
chain_6,medium,medium,p2_c40_penalty_off,101,6,6,3,3,112,233,22,32,52,37,0,1.2828795909881592,0
chain_6,medium,medium,p2_c40,1818,6,6,0,6,101,204,28,27,45,36,0,1.4109182357788086,0
chain_6,medium,medium,p2_c40_penalty_off,303,6,6,3,3,102,200,32,27,42,37,0,1.340982437133789,0
chain_6,medium,medium,p2_c40_penalty_off,404,6,6,3,3,102,207,24,27,43,37,0,1.3844013214111328,0
chain_6,medium,medium,p2_c40_penalty_off,606,6,6,3,3,95,182,33,27,36,37,0,1.3784708976745605,0
chain_6,medium,medium,p2_c40_penalty_off,505,6,6,3,3,96,187,31,26,38,36,0,1.4011518955230713,0
chain_6,medium,medium,p2_c40_penalty_off,707,6,6,3,3,98,188,32,22,47,30,0,1.3785135746002197,0
chain_6,medium,medium,p2_c40_penalty_off,808,6,6,3,3,97,193,26,21,42,34,0,1.3170936107635498,0
chain_6,medium,medium,p2_c40_penalty_off,909,5,6,3,3,90,170,35,21,33,36,0,1.3159499168395996,0
chain_6,medium,medium,p2_c40_penalty_off,1414,6,6,3,3,105,207,32,28,49,34,0,1.2831127643585205,0
chain_6,medium,medium,p2_c40_penalty_off,1212,6,6,3,3,100,199,29,26,40,38,0,1.3816261291503906,0
chain_6,medium,medium,p2_c40_penalty_off,1010,6,6,3,3,100,207,19,28,40,38,0,1.4383141994476318,0
chain_6,medium,medium,p2_c40_penalty_off,1111,6,6,3,3,106,204,36,32,52,31,0,1.429107904434204,0
chain_6,medium,medium,p2_c40_penalty_off,1515,6,6,3,3,107,216,29,33,44,40,0,1.3710556030273438,0
chain_6,medium,medium,p2_c40_penalty_off,1313,6,6,4,2,93,173,33,14,47,26,0,1.4110064506530762,0
chain_6,medium,medium,p2_c40_penalty_off,1616,5,6,4,2,97,188,32,22,44,32,0,1.4267151355743408,0
chain_6,medium,medium,p2_c40_penalty_off,1818,6,6,3,3,111,218,35,33,52,36,0,1.394538402557373,0
chain_6,medium,medium,p2_c40_penalty_off,1717,5,6,3,3,95,191,25,25,37,37,0,1.4841361045837402,0
chain_6,medium,medium,p2_c40_penalty_off,1919,6,6,3,3,111,221,29,33,52,35,0,1.4634499549865723,0
chain_6,medium,frequent,baseline,42,6,6,1,5,111,211,39,22,37,45,0,1.4349331855773926,0
chain_6,medium,frequent,baseline,101,6,6,1,5,134,270,37,22,60,45,0,1.4223179817199707,0
chain_6,medium,frequent,baseline,202,6,6,1,5,123,238,40,22,49,45,0,1.460822343826294,0
chain_6,medium,frequent,baseline,404,6,6,1,5,124,251,30,22,50,45,0,1.2171437740325928,0
chain_6,medium,frequent,baseline,303,6,6,2,4,124,239,42,20,54,41,0,1.451305627822876,0
chain_6,medium,frequent,baseline,606,6,6,1,5,117,224,42,22,43,45,0,1.301567554473877,0
chain_6,medium,frequent,baseline,505,6,6,1,5,117,227,38,22,44,44,0,1.4617257118225098,0
chain_6,medium,frequent,baseline,808,6,6,1,5,123,244,36,22,48,46,0,1.4526145458221436,0
chain_6,medium,frequent,baseline,1818,6,6,1,5,133,274,29,22,58,46,0,1.1738905906677246,0
chain_6,medium,frequent,baseline,1111,6,6,3,3,117,220,41,18,51,37,0,1.3958656787872314,0
chain_6,medium,frequent,baseline,909,5,6,3,3,111,206,43,18,46,37,0,1.5101227760314941,0
chain_6,medium,frequent,baseline,1010,6,6,1,5,114,225,31,22,39,46,0,1.5195600986480713,0
chain_6,medium,frequent,baseline,707,6,6,3,3,128,247,41,18,61,38,0,1.6437571048736572,0
chain_6,medium,frequent,baseline,1212,6,6,1,5,125,249,36,23,50,46,0,1.4545748233795166,0
chain_6,medium,frequent,baseline,1414,6,6,1,5,135,262,41,31,72,34,0,1.3982107639312744,0
chain_6,medium,frequent,baseline,1313,6,6,1,5,123,239,40,22,50,44,0,1.4178194999694824,0
chain_6,medium,frequent,p2_c120,404,6,6,4,2,136,266,39,29,68,37,0,1.3826706409454346,0
chain_6,medium,frequent,baseline,1717,5,6,1,5,121,239,34,19,52,41,0,1.579699993133545,0
chain_6,medium,frequent,baseline,1616,5,6,2,4,119,219,49,18,54,37,0,1.6098625659942627,0
chain_6,medium,frequent,p2_c120,202,6,6,4,2,133,244,54,28,65,37,0,1.454056978225708,0
chain_6,medium,frequent,p2_c120,303,6,6,4,2,130,245,47,22,65,35,0,1.467956304550171,0
chain_6,medium,frequent,baseline,1515,6,6,1,5,113,216,39,22,38,46,0,1.72409987449646,0
chain_6,medium,frequent,p2_c120,606,6,6,4,2,122,221,52,22,57,35,0,1.448828935623169,0
chain_6,medium,frequent,p2_c120,101,6,6,4,2,146,286,45,29,78,37,0,1.680640697479248,0
chain_6,medium,frequent,p2_c120,808,6,6,4,2,133,251,47,27,66,36,0,1.5349657535552979,0
chain_6,medium,frequent,p2_c120,42,6,6,3,3,122,226,48,31,50,41,0,1.772193431854248,0
chain_6,medium,frequent,p2_c120,505,6,6,5,1,117,211,46,14,60,28,0,1.7538151741027832,0
chain_6,medium,frequent,p2_c120,707,6,6,4,2,133,252,47,22,67,36,0,1.695113182067871,0
chain_6,medium,frequent,baseline,1919,5,6,2,4,118,223,39,17,51,38,0,1.926940679550171,0
chain_6,medium,frequent,p2_c120,1111,6,6,4,2,122,227,43,21,59,33,0,1.2868316173553467,0
chain_6,medium,frequent,p2_c120,909,5,6,4,2,117,216,46,22,53,35,0,1.524751901626587,0
chain_6,medium,frequent,p2_c120,1313,6,6,3,3,133,249,50,29,64,38,0,1.3078558444976807,0
chain_6,medium,frequent,p2_c120,1010,6,6,4,2,121,220,46,25,56,34,0,1.4541692733764648,0
chain_6,medium,frequent,p2_c120,1212,6,6,4,2,135,255,50,29,66,38,0,1.555147409439087,0
chain_6,medium,frequent,p2_c120,1919,5,6,4,2,125,235,40,20,63,32,0,1.3389272689819336,0
chain_6,medium,frequent,p2_c120,1616,5,6,4,2,129,229,61,26,66,33,0,1.4605257511138916,0
chain_6,medium,frequent,p2_c120,1818,6,6,3,3,142,281,40,29,71,40,0,1.4233036041259766,0
chain_6,medium,frequent,p2_c120,1515,6,6,4,2,118,207,56,23,52,36,0,1.5338523387908936,0
chain_6,medium,frequent,p2_c120_mp2,42,6,6,3,3,125,229,48,31,50,41,0,1.4297313690185547,0
chain_6,medium,frequent,p2_c120,1414,6,6,3,3,139,260,52,33,73,35,0,1.7822742462158203,0
chain_6,medium,frequent,p2_c120,1717,5,6,3,3,129,243,44,25,66,33,0,1.6579291820526123,0
chain_6,medium,frequent,p2_c120_mp2,202,6,6,4,2,136,253,47,28,68,35,0,1.5658459663391113,0
chain_6,medium,frequent,p2_c120_mp2,101,6,6,4,2,148,288,45,29,78,37,0,1.5830931663513184,0
chain_6,medium,frequent,p2_c120_mp2,303,6,6,4,2,132,247,47,22,65,35,0,1.6071393489837646,0
chain_6,medium,frequent,p2_c120_mp2,606,6,6,4,2,124,223,52,22,57,35,0,1.4062974452972412,0
chain_6,medium,frequent,p2_c120_mp2,505,6,6,5,1,118,212,46,14,60,28,0,1.4472355842590332,0
chain_6,medium,frequent,p2_c120_mp2,404,6,6,4,2,131,252,36,21,66,33,0,1.5237252712249756,0
chain_6,medium,frequent,p2_c120_mp2,707,6,6,4,2,135,254,47,22,67,36,0,1.587808609008789,0
chain_6,medium,frequent,p2_c120_mp2,1010,6,6,4,2,124,225,47,26,55,36,0,1.474799394607544,0
chain_6,medium,frequent,p2_c120_mp2,909,5,6,4,2,119,218,46,22,53,35,0,1.5928611755371094,0
chain_6,medium,frequent,p2_c120_mp2,808,6,6,4,2,136,256,48,28,65,38,0,1.686565637588501,0
chain_6,medium,frequent,p2_c120_mp2,1212,6,6,4,2,138,262,47,30,67,38,0,1.4316718578338623,0
chain_6,medium,frequent,p2_c120_mp2,1313,6,6,3,3,136,254,48,29,64,38,0,1.4843111038208008,0
chain_6,medium,frequent,p2_c120_mp2,1616,5,6,4,2,132,236,58,27,67,33,0,1.4831171035766602,0
chain_6,medium,frequent,p2_c120_mp2,1414,6,6,3,3,142,261,54,33,73,35,0,1.617445945739746,0
chain_6,medium,frequent,p2_c120_mp2,1717,5,6,3,3,132,245,45,25,66,33,0,1.4420056343078613,0
chain_6,medium,frequent,p2_c120_mp2,1515,6,6,4,2,121,214,53,24,53,36,0,1.628100872039795,0
chain_6,medium,frequent,p2_c120_mp2,1111,6,6,4,2,124,229,43,21,59,33,0,1.8724820613861084,0
chain_6,medium,frequent,p2_c120_mp2,1818,6,6,3,3,146,287,41,30,70,42,0,1.546398401260376,0
chain_6,medium,frequent,p2_c120_mp2,1919,6,6,4,2,131,250,37,23,63,35,0,1.5392606258392334,0
chain_6,medium,frequent,p2_c120_mp3,101,6,6,4,2,150,289,46,29,78,37,0,1.522454023361206,0
chain_6,medium,frequent,p2_c120_mp3,42,6,6,3,3,129,237,45,32,51,41,0,1.6714658737182617,0
chain_6,medium,frequent,p2_c120_mp3,303,6,6,5,1,126,230,47,14,66,29,0,1.4306156635284424,0
chain_6,medium,frequent,p2_c120_mp3,404,6,6,4,2,139,267,38,28,69,35,0,1.4256460666656494,0
chain_6,medium,frequent,p2_c120_mp3,909,5,6,4,2,122,219,49,23,54,35,0,1.3906588554382324,0
chain_6,medium,frequent,p2_c120_mp3,505,6,6,5,1,119,213,46,14,60,28,0,1.6357693672180176,0
chain_6,medium,frequent,p2_c120_mp3,202,6,6,4,2,138,255,47,28,68,35,0,1.7180416584014893,0
chain_6,medium,frequent,p2_c120_mp3,1111,6,6,4,2,127,234,44,22,58,35,0,1.412752628326416,0
chain_6,medium,frequent,p2_c120_mp3,1010,6,6,4,2,125,224,46,25,56,34,0,1.4540956020355225,0
chain_6,medium,frequent,p2_c120_mp3,808,6,6,4,2,137,256,46,27,66,36,0,1.5227835178375244,0
chain_6,medium,frequent,p2_c120_mp3,606,6,6,4,2,126,225,52,22,57,35,0,1.6654658317565918,0
chain_6,medium,frequent,p2_c120_mp3,1313,6,6,4,2,139,259,48,29,68,36,0,1.4387271404266357,0
chain_6,medium,frequent,p2_c120_mp3,707,6,6,4,2,137,256,47,22,67,36,0,1.7220182418823242,0
chain_6,medium,frequent,p2_c120_mp3,1414,6,6,3,3,145,264,54,33,73,35,0,1.5059397220611572,0
chain_6,medium,frequent,p2_c120_mp3,1212,6,6,4,2,135,255,43,24,65,36,0,1.6815168857574463,0
chain_6,medium,frequent,p2_c120_mp3,1919,6,6,4,2,132,247,40,22,62,35,0,1.482530117034912,0
chain_6,medium,frequent,p2_c120_mp3,1616,6,6,4,2,138,250,56,30,67,36,0,1.6461906433105469,0
chain_6,medium,frequent,p2_c120_mp3,1818,6,6,3,3,148,287,40,29,71,40,0,1.5639684200286865,0
chain_6,medium,frequent,p2_c120_h2,42,6,6,3,3,138,267,46,32,62,44,1,1.4749424457550049,0
chain_6,medium,frequent,p2_c120_mp3,1515,6,6,4,2,122,211,56,23,52,36,0,1.6865291595458984,0
chain_6,medium,frequent,p2_c120_mp3,1717,5,6,3,3,136,250,47,26,65,35,0,1.7018003463745117,0
chain_6,medium,frequent,p2_c120_h2,101,6,6,4,2,136,264,43,23,67,38,1,1.5272998809814453,0
chain_6,medium,frequent,p2_c120_h2,303,6,6,5,1,128,235,51,20,63,34,1,1.469881534576416,0
chain_6,medium,frequent,p2_c120_h2,202,6,6,3,3,131,244,52,29,57,42,1,1.550605297088623,0
